"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","7,427.66","7,528.97","7,552.70","7,382.03","-","-1.35%"
"Dec 02, 2019","7,528.97","7,600.50","7,619.66","7,508.57","-","-0.78%"
"Nov 29, 2019","7,588.07","7,708.74","7,708.74","7,584.27","-","-1.55%"
"Nov 28, 2019","7,707.56","7,707.29","7,720.19","7,694.61","-","0.04%"
"Nov 27, 2019","7,704.49","7,642.15","7,704.49","7,632.58","-","0.77%"
"Nov 26, 2019","7,645.32","7,602.47","7,683.41","7,590.45","-","0.73%"
"Nov 25, 2019","7,589.91","7,477.84","7,589.91","7,464.80","-","1.50%"
"Nov 22, 2019","7,478.02","7,456.97","7,478.02","7,416.22","-","0.28%"
"Nov 21, 2019","7,457.00","7,506.10","7,506.10","7,434.43","-","-0.59%"
"Nov 19, 2019","7,501.01","7,521.90","7,549.42","7,490.33","-","-0.29%"
"Nov 18, 2019","7,522.64","7,449.09","7,532.65","7,435.38","-","1.12%"
"Nov 14, 2019","7,439.51","7,406.75","7,443.94","7,406.75","-","0.27%"
"Nov 13, 2019","7,419.27","7,389.52","7,434.31","7,386.24","-","0.31%"
"Nov 12, 2019","7,396.62","7,365.39","7,445.07","7,360.65","-","0.47%"
"Nov 11, 2019","7,362.13","7,399.48","7,399.48","7,327.68","-","-0.54%"
"Nov 08, 2019","7,402.12","7,259.69","7,402.12","7,259.68","-","2.02%"
"Nov 07, 2019","7,255.44","7,176.55","7,288.32","7,176.55","-","1.14%"
"Nov 06, 2019","7,173.75","7,042.42","7,222.33","7,042.42","-","1.91%"
"Nov 05, 2019","7,039.18","7,063.77","7,076.04","7,035.04","-","-0.35%"
"Nov 04, 2019","7,063.74","6,988.86","7,077.59","6,988.86","-","1.07%"
"Nov 01, 2019","6,988.88","6,962.17","7,015.95","6,923.35","-","0.42%"
"Oct 31, 2019","6,959.46","6,962.21","6,993.60","6,926.49","-","0.31%"
"Oct 30, 2019","6,938.15","6,933.44","6,992.01","6,932.69","-","0.20%"
"Oct 29, 2019","6,924.58","6,942.53","6,954.64","6,916.96","-","-0.22%"
"Oct 28, 2019","6,939.83","6,932.27","6,948.62","6,910.36","-","0.10%"
"Oct 25, 2019","6,932.63","6,981.91","6,985.31","6,895.05","-","-0.62%"
"Oct 24, 2019","6,976.01","6,953.45","6,980.98","6,910.63","-","0.73%"
"Oct 23, 2019","6,925.51","6,992.80","7,014.92","6,901.68","-","-0.63%"
"Oct 22, 2019","6,969.70","7,084.39","7,106.23","6,969.70","-","-1.60%"
"Oct 21, 2019","7,082.70","7,054.47","7,116.27","7,033.92","-","0.69%"
"Oct 18, 2019","7,034.02","7,144.16","7,144.16","7,023.47","-","-1.52%"
"Oct 17, 2019","7,142.39","7,098.53","7,169.59","7,080.05","-","0.65%"
"Oct 16, 2019","7,096.58","7,114.77","7,154.21","7,072.26","-","-0.40%"
"Oct 15, 2019","7,125.11","6,999.47","7,135.39","6,999.47","-","1.61%"
"Oct 14, 2019","7,012.39","6,952.86","7,021.66","6,952.86","-","0.71%"
"Oct 11, 2019","6,962.75","6,919.60","7,004.72","6,919.60","-","0.67%"
"Oct 10, 2019","6,916.55","6,835.39","6,918.96","6,835.39","-","1.11%"
