"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","69,649.42","69,388.25","69,671.37","68,980.45","-","0.51%"
"Dec 02, 2019","69,292.74","69,560.50","69,797.57","69,197.53","-","-0.15%"
"Nov 29, 2019","69,397.56","68,824.83","69,397.56","68,821.87","-","0.76%"
"Nov 28, 2019","68,875.26","68,485.36","68,898.43","68,171.21","-","0.59%"
"Nov 27, 2019","68,471.09","68,336.64","68,568.09","67,772.78","-","0.41%"
"Nov 26, 2019","68,190.50","68,494.68","68,494.68","67,601.53","-","-0.49%"
"Nov 25, 2019","68,529.26","68,975.70","69,047.53","68,277.78","-","-0.46%"
"Nov 22, 2019","68,847.60","68,290.11","68,847.60","68,255.01","-","0.87%"
"Nov 21, 2019","68,256.53","67,598.07","68,256.53","67,571.80","-","1.02%"
"Nov 19, 2019","67,568.37","67,945.78","68,164.29","67,417.51","-","-0.42%"
"Nov 18, 2019","67,853.21","68,044.23","68,302.97","67,744.52","-","-0.08%"
"Nov 14, 2019","67,908.40","67,473.47","67,962.62","67,259.11","-","0.90%"
"Nov 13, 2019","67,303.34","67,670.64","67,814.90","67,133.13","-","-0.60%"
"Nov 12, 2019","67,707.10","68,402.17","68,402.17","67,391.62","-","-1.00%"
"Nov 11, 2019","68,389.47","68,395.03","68,396.93","67,751.23","-","-0.04%"
"Nov 08, 2019","68,415.09","68,761.33","68,761.33","67,951.27","-","-0.72%"
"Nov 07, 2019","68,913.09","68,421.93","69,012.68","68,370.69","-","0.89%"
"Nov 06, 2019","68,307.39","68,142.99","68,332.54","67,718.01","-","0.47%"
"Nov 05, 2019","67,986.97","68,526.54","68,676.71","67,658.96","-","-0.61%"
"Nov 04, 2019","68,403.24","68,410.64","68,647.32","67,935.73","-","0.21%"
"Nov 01, 2019","68,256.96","68,096.03","68,392.65","67,979.88","-","0.45%"
"Oct 31, 2019","67,949.19","67,180.12","67,949.19","66,974.86","-","1.08%"
"Oct 30, 2019","67,224.23","65,985.02","67,225.93","65,852.65","-","1.85%"
"Oct 29, 2019","66,004.77","65,724.88","66,216.51","65,635.46","-","0.48%"
"Oct 28, 2019","65,691.41","65,368.76","65,816.64","65,099.49","-","0.64%"
"Oct 25, 2019","65,270.99","65,850.55","65,850.55","65,044.48","-","-0.75%"
"Oct 24, 2019","65,763.63","66,052.87","66,111.20","65,358.91","-","-0.42%"
"Oct 23, 2019","66,040.71","66,252.72","66,458.17","65,619.73","-","-0.16%"
"Oct 22, 2019","66,143.55","66,267.35","66,540.17","65,942.28","-","-0.18%"
"Oct 21, 2019","66,261.27","65,816.67","66,266.72","65,578.74","-","0.81%"
"Oct 18, 2019","65,726.61","65,351.33","65,735.05","65,273.68","-","0.62%"
"Oct 17, 2019","65,318.85","65,386.86","65,409.34","65,043.79","-","-0.07%"
"Oct 16, 2019","65,367.17","65,383.41","65,524.97","64,373.69","-","0.06%"
"Oct 15, 2019","65,328.76","66,335.40","66,622.44","65,269.91","-","-1.52%"
"Oct 14, 2019","66,339.83","66,568.72","66,601.33","66,183.04","-","-0.16%"
"Oct 11, 2019","66,448.69","66,330.16","66,676.03","66,142.18","-","0.27%"
"Oct 10, 2019","66,266.97","66,362.88","66,478.57","66,220.98","-","-0.17%"
"Oct 09, 2019","66,377.61","66,352.47","66,575.51","66,050.52","-","0.37%"
"Oct 08, 2019","66,130.96","66,503.06","66,742.64","66,004.99","-","-0.48%"
"Oct 07, 2019","66,446.66","67,562.24","67,577.68","66,435.17","-","-1.78%"
"Oct 04, 2019","67,654.10","67,333.88","67,690.85","67,008.77","-","0.59%"
"Oct 03, 2019","67,255.43","67,077.07","67,255.43","66,503.93","-","0.33%"
"Oct 02, 2019","67,034.70","67,736.85","67,736.85","66,830.96","-","-1.26%"
"Oct 01, 2019","67,891.72","68,129.29","68,129.29","67,440.12","-","-0.34%"
"Sep 30, 2019","68,121.98","67,431.62","68,153.61","67,409.71","-","1.10%"
"Sep 27, 2019","67,378.78","67,474.06","67,644.36","67,159.82","-","-0.15%"
"Sep 26, 2019","67,479.23","67,002.29","67,504.84","66,996.24","-","0.63%"
"Sep 25, 2019","67,054.41","67,501.82","67,514.20","66,669.13","-","-0.82%"
"Sep 24, 2019","67,605.44","68,236.86","68,338.58","67,481.96","-","-0.66%"
"Sep 23, 2019","68,053.07","68,202.70","68,291.58","67,735.62","-","-0.35%"
"Sep 20, 2019","68,291.56","69,197.62","69,197.62","68,255.06","-","-1.01%"
"Sep 19, 2019","68,991.50","68,442.50","69,308.90","68,442.50","-","1.05%"
"Sep 18, 2019","68,272.48","68,215.88","68,351.06","67,892.74","-","0.04%"
"Sep 17, 2019","68,248.49","67,621.03","68,248.49","67,408.07","-","0.87%"
"Sep 16, 2019","67,658.48","67,826.43","68,126.30","67,282.54","-","-0.25%"
"Sep 13, 2019","67,829.85","68,392.21","68,426.17","67,692.73","-","-0.71%"
"Sep 12, 2019","68,315.66","67,995.05","68,345.87","67,863.91","-","0.73%"
"Sep 11, 2019","67,819.51","66,801.38","67,821.56","66,742.64","-","1.98%"
"Sep 10, 2019","66,501.18","66,495.79","66,501.55","65,969.98","-","0.04%"
"Sep 09, 2019","66,476.65","67,793.90","67,898.98","66,464.34","-","-1.69%"
"Sep 06, 2019","67,621.86","68,256.27","68,298.79","67,369.39","-","-0.60%"
"Sep 05, 2019","68,031.94","68,042.44","68,306.34","67,999.74","-","0.05%"
"Sep 04, 2019","67,997.78","67,821.71","68,045.56","67,346.65","-","0.77%"
"Sep 03, 2019","67,480.98","68,315.86","68,550.88","67,342.02","-","-1.28%"
"Sep 02, 2019","68,355.10","67,900.36","68,577.31","67,900.36","-","0.73%"
"Aug 30, 2019","67,856.73","67,200.67","67,866.80","67,180.44","-","1.39%"
"Aug 29, 2019","66,928.46","66,338.38","67,062.14","66,201.27","-","1.00%"
"Aug 28, 2019","66,264.27","65,718.44","66,277.24","65,382.37","-","0.57%"
"Aug 27, 2019","65,891.87","65,909.87","66,177.76","65,261.61","-","0.15%"
"Aug 26, 2019","65,793.05","66,428.46","66,556.24","65,588.25","-","-0.55%"
"Aug 23, 2019","66,156.84","66,825.50","67,122.66","65,777.34","-","-1.47%"
"Aug 22, 2019","67,146.95","67,387.60","67,424.50","66,829.75","-","-0.30%"
"Aug 21, 2019","67,345.85","66,129.15","67,411.12","65,766.06","-","2.12%"
"Aug 20, 2019","65,950.05","66,611.85","66,611.85","65,483.94","-","-0.99%"
"Aug 19, 2019","66,611.32","66,979.62","67,285.65","66,383.90","-","-0.20%"
"Aug 16, 2019","66,746.77","66,455.00","66,804.87","65,910.44","-","1.03%"
"Aug 15, 2019","66,068.00","67,145.34","67,389.00","65,540.07","-","-1.45%"
"Aug 14, 2019","67,039.74","68,271.53","68,326.20","66,965.29","-","-2.27%"
"Aug 13, 2019","68,596.10","67,908.79","68,602.11","67,384.97","-","1.02%"
"Aug 12, 2019","67,905.70","68,265.70","68,265.70","67,441.56","-","-0.88%"
"Aug 09, 2019","68,509.29","68,059.23","68,590.88","67,934.69","-","0.72%"
"Aug 08, 2019","68,019.24","67,507.32","68,231.21","67,424.51","-","0.96%"
"Aug 07, 2019","67,370.48","67,351.64","67,373.75","66,459.45","-","-0.12%"
"Aug 06, 2019","67,453.82","66,113.92","67,479.12","66,113.92","-","1.94%"
"Aug 05, 2019","66,171.15","67,015.57","67,015.57","65,952.61","-","-1.58%"
"Aug 02, 2019","67,230.81","67,325.95","67,505.04","66,704.19","-","-0.06%"
"Aug 01, 2019","67,271.26","66,388.96","67,757.66","66,388.96","-","1.49%"
"Jul 31, 2019","66,282.51","66,282.34","66,406.50","65,790.78","-","0.08%"
"Jul 30, 2019","66,226.95","65,658.08","66,229.96","65,533.54","-","0.94%"
"Jul 29, 2019","65,608.07","65,458.78","65,623.02","64,975.88","-","0.42%"
