"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","19,882.67","19,899.72","19,948.12","19,739.26","-","-0.09%"
"Dec 02, 2019","19,900.60","19,854.27","19,953.60","19,836.15","-","0.23%"
"Nov 29, 2019","19,854.27","19,809.29","19,933.21","19,711.27","-","0.22%"
"Nov 28, 2019","19,810.78","19,681.20","19,885.54","19,655.54","-","0.66%"
"Nov 27, 2019","19,681.20","19,586.97","19,767.94","19,411.29","-","0.48%"
"Nov 26, 2019","19,586.62","19,652.23","19,717.17","19,478.83","-","-0.35%"
"Nov 25, 2019","19,654.86","19,300.33","19,708.60","19,296.97","-","1.84%"
"Nov 22, 2019","19,300.31","19,188.98","19,319.39","19,126.76","-","0.58%"
"Nov 21, 2019","19,189.42","18,993.33","19,189.42","18,980.02","-","1.02%"
"Nov 19, 2019","18,995.52","18,953.11","19,126.04","18,900.94","-","0.23%"
"Nov 18, 2019","18,952.36","18,848.78","19,035.03","18,848.78","-","0.55%"
"Nov 14, 2019","18,848.66","18,894.15","18,973.61","18,805.80","-","-0.24%"
"Nov 13, 2019","18,894.07","18,990.26","19,062.46","18,803.94","-","-0.51%"
"Nov 12, 2019","18,991.11","19,320.73","19,366.94","18,882.31","-","-1.71%"
"Nov 11, 2019","19,320.59","19,164.82","19,361.54","19,009.50","-","0.77%"
"Nov 08, 2019","19,172.29","19,354.05","19,392.69","19,072.44","-","-0.94%"
"Nov 07, 2019","19,355.09","18,934.18","19,356.76","18,934.18","-","2.22%"
"Nov 06, 2019","18,934.18","19,133.52","19,188.70","18,845.58","-","-1.04%"
"Nov 05, 2019","19,133.16","19,155.95","19,184.46","18,982.93","-","-0.12%"
"Nov 04, 2019","19,155.86","18,745.67","19,191.45","18,745.43","-","2.19%"
"Nov 01, 2019","18,745.43","18,459.28","18,814.91","18,459.28","-","1.56%"
"Oct 31, 2019","18,458.14","18,580.30","18,596.08","18,373.70","-","-0.65%"
"Oct 30, 2019","18,579.78","18,483.16","18,579.78","18,379.23","-","0.52%"
"Oct 29, 2019","18,483.16","18,535.61","18,617.61","18,430.06","-","-0.25%"
"Oct 28, 2019","18,529.98","18,544.21","18,663.50","18,481.61","-","-0.08%"
"Oct 25, 2019","18,544.21","19,011.30","19,041.80","18,544.15","-","-2.46%"
"Oct 24, 2019","19,011.18","19,129.46","19,166.83","18,952.10","-","-0.62%"
"Oct 23, 2019","19,129.04","19,274.26","19,328.85","19,117.48","-","-0.75%"
"Oct 22, 2019","19,274.09","19,224.15","19,380.53","19,176.21","-","0.26%"
"Oct 21, 2019","19,224.34","18,895.96","19,224.34","18,895.96","-","1.74%"
"Oct 18, 2019","18,895.62","18,971.09","19,048.29","18,843.39","-","-0.40%"
"Oct 17, 2019","18,971.41","19,004.74","19,080.76","18,939.48","-","-0.19%"
"Oct 16, 2019","19,007.84","18,948.25","19,028.78","18,867.04","-","0.29%"
"Oct 15, 2019","18,952.06","18,866.29","19,006.76","18,863.61","-","0.45%"
"Oct 14, 2019","18,866.35","18,907.08","19,003.97","18,822.72","-","-0.20%"
"Oct 11, 2019","18,904.44","18,609.15","19,010.24","18,609.15","-","1.59%"
"Oct 10, 2019","18,608.99","18,512.35","18,721.80","18,499.47","-","0.49%"
"Oct 09, 2019","18,517.56","18,602.58","18,716.72","18,451.59","-","-0.45%"
"Oct 08, 2019","18,600.85","18,828.66","18,887.58","18,567.05","-","-1.20%"
"Oct 07, 2019","18,827.25","19,201.10","19,201.39","18,786.98","-","-1.94%"
