"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2019","2,363.75","2,365.36","2,374.81","2,356.34","-","-0.07%"
"Oct 17, 2019","2,365.40","2,376.04","2,390.07","2,358.78","-","-0.48%"
"Oct 16, 2019","2,376.71","2,343.42","2,378.94","2,326.48","-","1.41%"
"Oct 15, 2019","2,343.55","2,340.39","2,358.92","2,334.17","-","0.12%"
"Oct 14, 2019","2,340.73","2,328.00","2,346.14","2,319.83","-","0.55%"
"Oct 11, 2019","2,327.90","2,286.03","2,341.22","2,286.03","-","1.84%"
"Oct 10, 2019","2,285.91","2,275.01","2,302.09","2,269.81","-","0.47%"
"Oct 09, 2019","2,275.19","2,240.48","2,282.42","2,240.48","-","1.60%"
"Oct 08, 2019","2,239.29","2,246.87","2,275.15","2,237.74","-","-0.36%"
"Oct 07, 2019","2,247.30","2,292.73","2,292.73","2,246.15","-","-1.98%"
"Oct 04, 2019","2,292.73","2,277.27","2,293.75","2,257.78","-","0.68%"
"Oct 03, 2019","2,277.18","2,266.52","2,281.22","2,243.39","-","0.47%"
"Oct 02, 2019","2,266.52","2,329.07","2,329.07","2,261.21","-","-2.71%"
"Oct 01, 2019","2,329.72","2,346.79","2,357.41","2,325.53","-","-0.73%"
"Sep 30, 2019","2,346.80","2,362.88","2,367.44","2,346.80","-","-0.69%"
"Sep 27, 2019","2,363.11","2,371.31","2,376.90","2,351.19","-","-0.35%"
"Sep 26, 2019","2,371.31","2,348.33","2,373.75","2,345.40","-","0.99%"
"Sep 25, 2019","2,348.18","2,336.16","2,348.18","2,317.59","-","0.50%"
"Sep 24, 2019","2,336.54","2,351.74","2,361.07","2,327.93","-","-0.65%"
"Sep 23, 2019","2,351.75","2,355.34","2,355.34","2,331.08","-","-0.16%"
"Sep 20, 2019","2,355.45","2,337.67","2,360.98","2,334.16","-","0.76%"
"Sep 19, 2019","2,337.70","2,355.58","2,392.62","2,336.82","-","-0.71%"
"Sep 18, 2019","2,354.41","2,351.15","2,360.46","2,333.44","-","0.15%"
"Sep 17, 2019","2,350.80","2,322.21","2,350.91","2,308.61","-","1.23%"
"Sep 16, 2019","2,322.21","2,319.36","2,332.39","2,305.05","-","0.11%"
"Sep 13, 2019","2,319.72","2,338.49","2,345.94","2,316.12","-","-0.80%"
"Sep 12, 2019","2,338.47","2,332.90","2,354.63","2,328.65","-","0.24%"
"Sep 11, 2019","2,332.80","2,325.49","2,353.18","2,325.49","-","0.32%"
"Sep 10, 2019","2,325.26","2,337.71","2,346.26","2,311.97","-","-0.53%"
"Sep 09, 2019","2,337.74","2,334.22","2,373.67","2,332.23","-","0.15%"
"Sep 06, 2019","2,334.16","2,304.34","2,339.12","2,304.03","-","1.39%"
"Sep 05, 2019","2,302.20","2,264.17","2,326.97","2,264.17","-","1.71%"
"Sep 04, 2019","2,263.49","2,230.06","2,263.49","2,230.06","-","1.53%"
"Sep 03, 2019","2,229.30","2,255.65","2,279.20","2,222.77","-","-1.17%"
"Sep 02, 2019","2,255.62","2,272.67","2,281.91","2,255.62","-","-0.76%"
