"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2019","3,565.55","3,568.47","3,581.32","3,552.47","-","-0.08%"
"Oct 17, 2019","3,568.56","3,576.82","3,596.33","3,564.39","-","-0.25%"
"Oct 16, 2019","3,577.63","3,530.03","3,580.65","3,499.25","-","1.32%"
"Oct 15, 2019","3,531.02","3,520.57","3,543.98","3,511.44","-","0.30%"
"Oct 14, 2019","3,520.54","3,509.84","3,533.42","3,502.49","-","0.31%"
"Oct 11, 2019","3,509.81","3,432.12","3,530.11","3,432.12","-","2.26%"
"Oct 10, 2019","3,432.10","3,434.85","3,462.00","3,419.95","-","-0.08%"
"Oct 09, 2019","3,434.75","3,402.82","3,443.17","3,402.79","-","0.95%"
"Oct 08, 2019","3,402.35","3,418.03","3,448.85","3,392.61","-","-0.46%"
"Oct 07, 2019","3,418.09","3,497.86","3,498.09","3,415.91","-","-2.28%"
"Oct 04, 2019","3,497.90","3,473.35","3,500.99","3,447.36","-","0.72%"
"Oct 03, 2019","3,472.97","3,457.07","3,477.71","3,423.18","-","0.46%"
"Oct 02, 2019","3,456.95","3,546.57","3,546.57","3,456.95","-","-2.54%"
"Oct 01, 2019","3,547.09","3,581.39","3,583.70","3,539.92","-","-0.95%"
"Sep 30, 2019","3,581.13","3,574.06","3,591.29","3,570.97","-","0.20%"
"Sep 27, 2019","3,574.06","3,576.77","3,596.89","3,562.62","-","-0.08%"
"Sep 26, 2019","3,576.77","3,561.38","3,582.63","3,557.21","-","0.44%"
"Sep 25, 2019","3,561.09","3,556.48","3,564.43","3,518.65","-","0.12%"
"Sep 24, 2019","3,556.74","3,583.29","3,594.60","3,549.77","-","-0.74%"
"Sep 23, 2019","3,583.30","3,592.78","3,592.78","3,556.27","-","-0.26%"
"Sep 20, 2019","3,592.76","3,589.10","3,603.23","3,564.90","-","0.10%"
"Sep 19, 2019","3,589.10","3,584.46","3,637.60","3,584.46","-","0.14%"
"Sep 18, 2019","3,584.19","3,564.14","3,584.19","3,553.45","-","0.56%"
"Sep 17, 2019","3,564.14","3,506.07","3,565.75","3,492.97","-","1.66%"
"Sep 16, 2019","3,506.07","3,499.43","3,521.48","3,464.51","-","0.19%"
"Sep 13, 2019","3,499.54","3,545.50","3,549.44","3,495.25","-","-1.29%"
"Sep 12, 2019","3,545.45","3,535.46","3,575.12","3,534.40","-","0.31%"
"Sep 11, 2019","3,534.62","3,480.12","3,535.56","3,480.12","-","1.57%"
"Sep 10, 2019","3,480.06","3,488.25","3,501.78","3,467.56","-","-0.24%"
"Sep 09, 2019","3,488.42","3,520.88","3,548.69","3,484.03","-","-0.92%"
"Sep 06, 2019","3,520.88","3,533.98","3,548.29","3,514.22","-","-0.37%"
"Sep 05, 2019","3,533.98","3,509.40","3,558.77","3,509.38","-","0.70%"
"Sep 04, 2019","3,509.33","3,462.19","3,509.33","3,462.19","-","1.37%"
"Sep 03, 2019","3,461.96","3,510.63","3,544.82","3,455.56","-","-1.38%"
"Sep 02, 2019","3,510.46","3,509.51","3,541.25","3,504.55","-","0.03%"
"Aug 30, 2019","3,509.56","3,474.73","3,524.39","3,474.73","-","1.01%"
"Aug 29, 2019","3,474.62","3,392.51","3,483.17","3,392.51","-","2.42%"
"Aug 28, 2019","3,392.36","3,348.80","3,392.36","3,318.12","-","1.30%"
