"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","63.28","63.12","63.95","62.80","8.35K","0.46%"
"Dec 02, 2019","62.99","63.10","64.63","62.97","9.91K","0.22%"
"Nov 29, 2019","62.85","62.70","63.00","62.65","13.45K","0.48%"
"Nov 28, 2019","62.55","62.44","62.70","62.12","6.88K","0.45%"
"Nov 27, 2019","62.27","62.31","62.44","61.61","26.18K","-0.05%"
"Nov 26, 2019","62.30","62.77","62.77","61.78","24.03K","-0.75%"
"Nov 25, 2019","62.77","62.80","62.95","62.53","4.44K","0.03%"
"Nov 22, 2019","62.75","62.40","62.75","62.20","30.64K","0.56%"
"Nov 21, 2019","62.40","61.60","62.40","61.60","41.74K","1.55%"
"Nov 19, 2019","61.45","62.01","62.79","61.39","14.37K","-0.89%"
"Nov 18, 2019","62.00","62.00","62.43","61.70","14.43K","0.49%"
"Nov 14, 2019","61.70","61.55","61.90","61.26","14.73K","0.33%"
"Nov 13, 2019","61.50","61.40","61.74","61.10","23.79K","0.08%"
"Nov 12, 2019","61.45","62.28","62.28","61.07","44.53K","-1.33%"
"Nov 11, 2019","62.28","61.50","62.66","61.50","33.93K","0.91%"
"Nov 08, 2019","61.72","62.60","62.79","61.67","213.71K","-1.67%"
"Nov 07, 2019","62.77","62.01","62.95","61.10","31.65K","1.24%"
"Nov 06, 2019","62.00","61.70","62.49","61.70","10.57K","0.47%"
"Nov 05, 2019","61.71","62.30","62.92","61.71","11.40K","-0.93%"
"Nov 04, 2019","62.29","62.30","62.56","62.15","21.86K","-0.10%"
"Nov 01, 2019","62.35","61.91","62.35","61.80","15.12K","1.51%"
"Oct 31, 2019","61.42","62.00","62.00","61.08","25.37K","-0.90%"
"Oct 30, 2019","61.98","61.59","61.98","60.96","27.32K","0.62%"
"Oct 29, 2019","61.60","61.57","61.60","61.29","10.75K","-0.32%"
"Oct 28, 2019","61.80","61.20","61.80","61.00","12.42K","1.18%"
"Oct 25, 2019","61.08","61.75","61.89","61.08","27.86K","-0.46%"
"Oct 24, 2019","61.36","61.30","61.85","61.00","23.03K","-0.15%"
"Oct 23, 2019","61.45","61.15","61.45","59.51","11.23K","0.49%"
"Oct 22, 2019","61.15","60.86","62.70","60.86","34.43K","-0.08%"
"Oct 21, 2019","61.20","60.35","61.20","60.35","26.71K","1.41%"
"Oct 18, 2019","60.35","60.45","60.55","60.35","12.36K","-0.08%"
"Oct 17, 2019","60.40","60.35","60.83","59.55","30.88K","0.08%"
"Oct 16, 2019","60.35","59.72","60.80","59.26","28.93K","0.70%"
"Oct 15, 2019","59.93","59.90","60.80","59.77","31.22K","-0.03%"
"Oct 14, 2019","59.95","60.05","60.50","59.70","4.88K","-0.08%"
"Oct 11, 2019","60.00","58.88","60.00","58.88","5.29K","2.34%"
"Oct 10, 2019","58.63","58.83","58.93","58.62","1.25K","0.22%"
"Oct 09, 2019","58.50","58.70","59.60","58.30","9.72K","1.12%"
