"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","12,658.42","12,592.29","12,704.59","12,572.13","-","0.53%"
"Dec 02, 2019","12,592.14","12,545.49","12,694.82","12,545.49","-","0.37%"
"Nov 29, 2019","12,545.49","12,522.68","12,585.69","12,479.37","-","0.18%"
"Nov 28, 2019","12,522.66","12,472.18","12,533.73","12,318.91","-","0.40%"
"Nov 27, 2019","12,472.18","12,315.24","12,515.70","12,261.76","-","1.27%"
"Nov 26, 2019","12,315.19","12,580.13","12,580.13","12,231.24","-","-2.11%"
"Nov 25, 2019","12,580.41","12,765.89","12,771.00","12,569.35","-","-1.45%"
"Nov 22, 2019","12,765.86","12,641.95","12,765.86","12,582.08","-","0.98%"
"Nov 21, 2019","12,642.03","12,475.89","12,642.03","12,466.33","-","1.33%"
"Nov 19, 2019","12,475.89","12,558.38","12,603.77","12,397.54","-","-0.65%"
"Nov 18, 2019","12,556.95","12,675.71","12,788.60","12,556.95","-","-0.94%"
"Nov 14, 2019","12,675.64","12,571.01","12,676.26","12,509.37","-","0.83%"
"Nov 13, 2019","12,571.15","12,673.09","12,673.09","12,446.45","-","-0.81%"
"Nov 12, 2019","12,674.00","12,842.75","12,842.75","12,555.67","-","-1.31%"
"Nov 11, 2019","12,842.75","12,713.85","12,842.75","12,621.71","-","0.98%"
"Nov 08, 2019","12,718.35","12,941.56","12,941.56","12,643.60","-","-1.74%"
"Nov 07, 2019","12,943.14","12,924.88","13,008.77","12,883.64","-","0.14%"
"Nov 06, 2019","12,924.88","13,018.85","13,121.07","12,889.11","-","-0.72%"
"Nov 05, 2019","13,018.49","12,909.13","13,096.21","12,906.90","-","0.85%"
"Nov 04, 2019","12,909.30","12,890.97","12,982.81","12,824.69","-","0.14%"
"Nov 01, 2019","12,890.82","12,846.20","12,968.62","12,800.75","-","0.35%"
"Oct 31, 2019","12,846.17","13,079.28","13,089.87","12,734.71","-","-1.78%"
"Oct 30, 2019","13,079.54","13,003.60","13,081.84","12,801.93","-","0.58%"
"Oct 29, 2019","13,003.89","13,164.34","13,164.34","12,971.56","-","-1.22%"
"Oct 28, 2019","13,164.55","12,984.47","13,167.24","12,963.07","-","1.39%"
"Oct 25, 2019","12,984.47","12,923.33","13,050.24","12,891.73","-","0.47%"
"Oct 24, 2019","12,923.09","12,909.77","12,971.64","12,846.05","-","0.12%"
"Oct 23, 2019","12,907.36","12,784.26","12,936.09","12,694.23","-","0.96%"
"Oct 22, 2019","12,784.00","12,516.10","12,784.00","12,495.70","-","2.14%"
"Oct 21, 2019","12,516.02","12,356.62","12,516.42","12,285.97","-","1.29%"
"Oct 18, 2019","12,356.91","12,367.39","12,410.19","12,323.55","-","-0.08%"
"Oct 17, 2019","12,367.39","12,367.55","12,472.11","12,311.99","-","-0.02%"
"Oct 16, 2019","12,369.45","12,183.48","12,382.23","12,070.03","-","1.53%"
"Oct 15, 2019","12,183.62","12,221.32","12,296.93","12,170.53","-","-0.33%"
"Oct 14, 2019","12,224.39","12,099.41","12,247.35","12,055.28","-","1.04%"
"Oct 11, 2019","12,098.79","11,882.65","12,153.74","11,881.79","-","1.85%"
"Oct 10, 2019","11,878.92","11,809.29","11,952.90","11,769.68","-","0.59%"
"Oct 09, 2019","11,809.29","11,568.60","11,839.91","11,567.96","-","2.14%"
"Oct 08, 2019","11,562.28","11,593.05","11,725.72","11,543.42","-","-0.26%"
"Oct 07, 2019","11,592.16","11,872.40","11,881.17","11,592.16","-","-2.36%"
"Oct 04, 2019","11,872.05","11,789.33","11,875.08","11,674.77","-","0.70%"
"Oct 03, 2019","11,789.33","11,752.34","11,830.04","11,648.91","-","0.31%"
"Oct 02, 2019","11,752.34","12,088.19","12,088.19","11,717.79","-","-2.78%"
"Oct 01, 2019","12,088.93","12,246.31","12,306.86","12,070.43","-","-1.28%"
"Sep 30, 2019","12,245.31","12,376.86","12,422.29","12,244.71","-","-1.06%"
"Sep 27, 2019","12,376.86","12,408.19","12,421.65","12,269.17","-","-0.25%"
"Sep 26, 2019","12,408.19","12,210.27","12,411.82","12,210.27","-","1.62%"
"Sep 25, 2019","12,209.88","12,157.37","12,209.88","12,031.93","-","0.43%"
"Sep 24, 2019","12,157.98","12,305.34","12,353.71","12,114.63","-","-1.20%"
"Sep 23, 2019","12,305.30","12,351.53","12,351.53","12,171.44","-","-0.37%"
"Sep 20, 2019","12,351.27","12,242.82","12,383.34","12,235.07","-","0.89%"
"Sep 19, 2019","12,242.70","12,378.19","12,537.24","12,228.36","-","-1.09%"
"Sep 18, 2019","12,377.92","12,290.52","12,377.92","12,232.81","-","0.71%"
"Sep 17, 2019","12,290.52","12,092.29","12,290.52","12,021.93","-","1.63%"
"Sep 16, 2019","12,093.62","12,156.01","12,156.01","12,012.83","-","-0.51%"
"Sep 13, 2019","12,155.52","12,256.96","12,312.39","12,136.44","-","-0.82%"
"Sep 12, 2019","12,256.25","12,237.75","12,355.59","12,188.79","-","0.15%"
"Sep 11, 2019","12,237.60","12,207.65","12,340.90","12,207.65","-","0.25%"
"Sep 10, 2019","12,207.49","12,326.97","12,374.17","12,128.44","-","-0.97%"
"Sep 09, 2019","12,327.26","12,313.01","12,531.66","12,290.88","-","0.12%"
"Sep 06, 2019","12,313.01","12,032.46","12,313.01","12,032.46","-","2.34%"
"Sep 05, 2019","12,031.67","11,794.98","12,200.57","11,794.57","-","2.01%"
