"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","15,265.36","15,266.09","15,310.06","15,150.90","-","0.00%"
"Dec 02, 2019","15,265.02","15,165.69","15,277.66","15,165.69","-","0.65%"
"Nov 29, 2019","15,166.52","15,140.16","15,218.67","15,084.07","-","0.19%"
"Nov 28, 2019","15,138.02","14,962.72","15,147.44","14,943.28","-","1.17%"
"Nov 27, 2019","14,962.29","14,894.02","14,969.74","14,772.56","-","0.46%"
"Nov 26, 2019","14,894.02","15,016.08","15,016.08","14,734.45","-","-0.81%"
"Nov 25, 2019","15,016.08","14,949.05","15,035.46","14,902.86","-","0.45%"
"Nov 22, 2019","14,949.05","14,814.96","14,949.05","14,778.97","-","0.90%"
"Nov 21, 2019","14,815.10","14,572.09","14,815.10","14,570.42","-","1.67%"
"Nov 19, 2019","14,571.43","14,587.03","14,680.16","14,495.03","-","-0.11%"
"Nov 18, 2019","14,587.18","14,659.16","14,766.21","14,570.33","-","-0.47%"
"Nov 14, 2019","14,656.03","14,430.53","14,661.34","14,430.53","-","1.54%"
"Nov 13, 2019","14,433.12","14,490.00","14,511.26","14,300.90","-","-0.39%"
"Nov 12, 2019","14,489.41","14,791.18","14,791.18","14,392.11","-","-2.04%"
"Nov 11, 2019","14,791.06","14,636.05","14,792.78","14,524.45","-","1.04%"
"Nov 08, 2019","14,638.54","14,867.80","14,867.80","14,556.88","-","-1.56%"
"Nov 07, 2019","14,870.69","14,729.23","14,897.38","14,729.23","-","0.96%"
"Nov 06, 2019","14,729.23","14,721.49","14,807.83","14,578.93","-","0.05%"
"Nov 05, 2019","14,721.49","14,807.79","14,819.39","14,634.85","-","-0.58%"
"Nov 04, 2019","14,807.98","14,775.76","14,897.42","14,775.76","-","0.22%"
"Nov 01, 2019","14,775.73","14,571.58","14,797.68","14,571.40","-","1.40%"
"Oct 31, 2019","14,571.19","14,630.26","14,630.26","14,451.85","-","-0.41%"
"Oct 30, 2019","14,631.78","14,479.46","14,634.24","14,434.67","-","1.05%"
"Oct 29, 2019","14,479.17","14,569.94","14,571.91","14,441.49","-","-0.62%"
"Oct 28, 2019","14,569.17","14,558.90","14,640.08","14,543.35","-","0.08%"
"Oct 25, 2019","14,558.25","14,617.84","14,687.70","14,533.85","-","-0.40%"
