"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","2,078.35","2,080.34","2,085.52","2,066.69","-","-0.09%"
"Dec 02, 2019","2,080.29","2,067.36","2,087.11","2,067.36","-","0.63%"
"Nov 29, 2019","2,067.36","2,068.10","2,075.33","2,057.60","-","-0.04%"
"Nov 28, 2019","2,068.10","2,057.76","2,068.50","2,046.63","-","0.50%"
"Nov 27, 2019","2,057.77","2,045.09","2,063.06","2,030.92","-","0.62%"
"Nov 26, 2019","2,045.09","2,072.41","2,072.41","2,033.63","-","-1.32%"
"Nov 25, 2019","2,072.41","2,079.00","2,082.81","2,065.96","-","-0.32%"
"Nov 22, 2019","2,078.96","2,057.09","2,078.96","2,050.69","-","1.06%"
"Nov 21, 2019","2,057.10","2,026.39","2,057.10","2,026.39","-","1.52%"
"Nov 19, 2019","2,026.36","2,034.20","2,046.61","2,017.28","-","-0.39%"
"Nov 18, 2019","2,034.21","2,039.72","2,058.19","2,033.76","-","-0.27%"
"Nov 14, 2019","2,039.71","2,030.69","2,044.37","2,026.63","-","0.44%"
"Nov 13, 2019","2,030.83","2,045.04","2,045.63","2,015.93","-","-0.69%"
"Nov 12, 2019","2,045.01","2,074.99","2,074.99","2,034.72","-","-1.44%"
"Nov 11, 2019","2,074.99","2,059.88","2,074.99","2,044.52","-","0.73%"
"Nov 08, 2019","2,060.02","2,094.47","2,094.47","2,050.48","-","-1.65%"
"Nov 07, 2019","2,094.63","2,072.38","2,096.22","2,072.38","-","1.07%"
"Nov 06, 2019","2,072.39","2,079.25","2,096.21","2,055.12","-","-0.33%"
"Nov 05, 2019","2,079.25","2,080.46","2,091.77","2,070.50","-","-0.06%"
"Nov 04, 2019","2,080.47","2,070.62","2,091.62","2,070.62","-","0.48%"
"Nov 01, 2019","2,070.62","2,053.37","2,076.91","2,053.37","-","0.84%"
"Oct 31, 2019","2,053.37","2,075.28","2,075.29","2,036.85","-","-1.06%"
"Oct 30, 2019","2,075.37","2,059.18","2,075.42","2,041.74","-","0.79%"
"Oct 29, 2019","2,059.17","2,071.28","2,071.39","2,054.39","-","-0.58%"
"Oct 28, 2019","2,071.24","2,055.16","2,074.26","2,055.12","-","0.78%"
"Oct 25, 2019","2,055.13","2,048.86","2,068.23","2,048.01","-","0.31%"
"Oct 24, 2019","2,048.85","2,058.24","2,061.73","2,041.54","-","-0.45%"
"Oct 23, 2019","2,058.06","2,054.04","2,065.33","2,047.16","-","0.20%"
"Oct 22, 2019","2,054.04","2,029.61","2,055.14","2,027.60","-","1.20%"
"Oct 21, 2019","2,029.60","2,005.46","2,029.73","2,004.47","-","1.20%"
"Oct 18, 2019","2,005.44","2,009.64","2,018.70","2,001.45","-","-0.21%"
"Oct 17, 2019","2,009.72","2,016.60","2,026.43","2,005.85","-","-0.37%"
"Oct 16, 2019","2,017.25","1,999.76","2,017.99","1,981.57","-","0.88%"
"Oct 15, 2019","1,999.75","1,997.58","2,011.79","1,993.54","-","0.11%"
"Oct 14, 2019","1,997.64","1,988.27","1,997.84","1,980.68","-","0.47%"
"Oct 11, 2019","1,988.24","1,949.91","1,998.01","1,949.91","-","1.97%"
"Oct 10, 2019","1,949.88","1,940.07","1,962.00","1,938.26","-","0.50%"
"Oct 09, 2019","1,940.16","1,915.36","1,945.50","1,915.36","-","1.32%"
"Oct 08, 2019","1,914.90","1,926.36","1,940.11","1,912.82","-","-0.60%"
"Oct 07, 2019","1,926.52","1,963.73","1,963.73","1,926.17","-","-1.89%"
"Oct 04, 2019","1,963.73","1,944.69","1,964.43","1,935.94","-","0.98%"
"Oct 03, 2019","1,944.70","1,936.96","1,945.59","1,913.91","-","0.40%"
"Oct 02, 2019","1,936.96","1,993.85","1,993.85","1,935.49","-","-2.86%"
"Oct 01, 2019","1,993.94","2,008.13","2,014.80","1,989.98","-","-0.71%"
"Sep 30, 2019","2,008.11","2,015.31","2,016.84","2,006.36","-","-0.36%"
"Sep 27, 2019","2,015.31","2,020.43","2,025.58","2,004.18","-","-0.25%"
"Sep 26, 2019","2,020.44","2,003.89","2,020.54","2,001.36","-","0.83%"
"Sep 25, 2019","2,003.87","1,993.00","2,003.87","1,975.99","-","0.54%"
"Sep 24, 2019","1,993.04","2,007.46","2,012.09","1,985.61","-","-0.72%"
"Sep 23, 2019","2,007.47","2,011.57","2,011.57","1,996.00","-","-0.20%"
"Sep 20, 2019","2,011.57","2,002.78","2,015.41","1,994.39","-","0.44%"
"Sep 19, 2019","2,002.78","2,007.76","2,035.25","2,002.05","-","-0.24%"
"Sep 18, 2019","2,007.61","2,009.35","2,011.87","1,991.73","-","-0.09%"
"Sep 17, 2019","2,009.35","1,991.78","2,009.38","1,980.09","-","0.88%"
"Sep 16, 2019","1,991.79","1,987.72","1,996.87","1,975.06","-","0.21%"
"Sep 13, 2019","1,987.69","2,003.43","2,009.09","1,983.19","-","-0.78%"
"Sep 12, 2019","2,003.41","1,986.96","2,008.41","1,986.96","-","0.83%"
"Sep 11, 2019","1,986.91","1,978.22","1,999.89","1,978.22","-","0.44%"
"Sep 10, 2019","1,978.13","1,981.47","1,986.53","1,962.84","-","-0.17%"
