"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","1,210.70","1,193.73","1,211.02","1,190.80","-","1.44%"
"Dec 02, 2019","1,193.54","1,183.42","1,193.82","1,182.39","-","0.92%"
"Nov 29, 2019","1,182.68","1,185.99","1,188.52","1,177.32","-","-0.32%"
"Nov 28, 2019","1,186.53","1,165.67","1,186.71","1,163.24","-","1.85%"
"Nov 27, 2019","1,165.03","1,182.99","1,185.23","1,153.31","-","-1.51%"
"Nov 26, 2019","1,182.86","1,194.86","1,194.86","1,161.25","-","-1.00%"
"Nov 25, 2019","1,194.86","1,198.22","1,201.73","1,185.94","-","-0.26%"
"Nov 22, 2019","1,197.94","1,196.11","1,201.64","1,184.50","-","0.16%"
"Nov 21, 2019","1,196.02","1,169.98","1,196.02","1,169.98","-","2.26%"
"Nov 19, 2019","1,169.56","1,176.97","1,184.59","1,163.11","-","-0.52%"
"Nov 18, 2019","1,175.63","1,183.87","1,197.55","1,172.24","-","-0.69%"
"Nov 14, 2019","1,183.83","1,148.15","1,185.89","1,147.41","-","3.12%"
"Nov 13, 2019","1,148.05","1,156.35","1,156.42","1,138.97","-","-0.72%"
"Nov 12, 2019","1,156.39","1,175.65","1,176.90","1,144.10","-","-1.64%"
"Nov 11, 2019","1,175.65","1,166.47","1,175.85","1,151.56","-","0.76%"
"Nov 08, 2019","1,166.75","1,186.11","1,186.11","1,158.33","-","-1.66%"
"Nov 07, 2019","1,186.49","1,182.51","1,187.35","1,179.94","-","0.34%"
"Nov 06, 2019","1,182.49","1,175.04","1,182.49","1,163.43","-","0.71%"
"Nov 05, 2019","1,174.19","1,199.64","1,201.48","1,167.09","-","-2.06%"
"Nov 04, 2019","1,198.84","1,183.91","1,198.84","1,183.91","-","1.26%"
"Nov 01, 2019","1,183.91","1,159.65","1,183.91","1,159.65","-","2.10%"
"Oct 31, 2019","1,159.53","1,158.06","1,162.23","1,143.01","-","0.14%"
"Oct 30, 2019","1,157.86","1,137.60","1,158.38","1,132.24","-","1.78%"
"Oct 29, 2019","1,137.59","1,146.12","1,147.35","1,133.81","-","-0.73%"
"Oct 28, 2019","1,145.91","1,133.34","1,148.50","1,127.77","-","1.15%"
"Oct 25, 2019","1,132.90","1,132.47","1,137.55","1,125.21","-","0.04%"
"Oct 24, 2019","1,132.42","1,138.38","1,140.03","1,126.34","-","-0.52%"
"Oct 23, 2019","1,138.30","1,150.88","1,152.16","1,132.87","-","-1.09%"
"Oct 22, 2019","1,150.81","1,147.87","1,153.00","1,140.90","-","0.27%"
"Oct 21, 2019","1,147.72","1,144.22","1,150.83","1,135.11","-","0.33%"
"Oct 18, 2019","1,143.92","1,139.46","1,145.70","1,131.86","-","0.39%"
"Oct 17, 2019","1,139.46","1,134.12","1,144.34","1,129.62","-","0.45%"
"Oct 16, 2019","1,134.36","1,115.62","1,135.83","1,103.86","-","1.68%"
"Oct 15, 2019","1,115.58","1,112.12","1,119.50","1,108.62","-","0.31%"
"Oct 14, 2019","1,112.15","1,102.02","1,113.27","1,097.73","-","0.93%"
"Oct 11, 2019","1,101.95","1,087.41","1,106.72","1,087.41","-","1.40%"
"Oct 10, 2019","1,086.78","1,091.38","1,099.51","1,083.36","-","-0.37%"
"Oct 09, 2019","1,090.78","1,078.09","1,095.26","1,078.09","-","1.32%"
