"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2019","2,514.76","2,513.78","2,521.05","2,495.15","-","0.04%"
"Dec 02, 2019","2,513.65","2,521.52","2,534.91","2,513.52","-","-0.33%"
"Nov 29, 2019","2,521.92","2,514.45","2,524.11","2,504.43","-","0.31%"
"Nov 28, 2019","2,514.25","2,483.72","2,514.25","2,477.64","-","1.22%"
"Nov 27, 2019","2,483.89","2,476.09","2,487.75","2,454.00","-","0.29%"
"Nov 26, 2019","2,476.60","2,487.00","2,487.00","2,448.26","-","-0.42%"
"Nov 25, 2019","2,487.00","2,475.10","2,488.73","2,472.49","-","0.48%"
"Nov 22, 2019","2,475.09","2,452.21","2,475.25","2,444.32","-","0.93%"
"Nov 21, 2019","2,452.22","2,413.02","2,452.22","2,413.02","-","1.62%"
"Nov 19, 2019","2,413.01","2,417.72","2,429.30","2,400.44","-","-0.19%"
"Nov 18, 2019","2,417.57","2,420.38","2,441.72","2,412.10","-","-0.10%"
"Nov 14, 2019","2,420.11","2,381.74","2,420.11","2,375.50","-","1.61%"
"Nov 13, 2019","2,381.72","2,388.87","2,389.63","2,364.95","-","-0.31%"
"Nov 12, 2019","2,389.01","2,429.21","2,430.36","2,380.41","-","-1.65%"
"Nov 11, 2019","2,429.19","2,418.93","2,430.36","2,399.46","-","0.42%"
"Nov 08, 2019","2,418.94","2,463.91","2,463.91","2,408.32","-","-1.83%"
"Nov 07, 2019","2,464.08","2,441.99","2,469.95","2,441.99","-","0.90%"
"Nov 06, 2019","2,441.99","2,416.82","2,441.99","2,403.05","-","1.04%"
"Nov 05, 2019","2,416.76","2,446.44","2,452.01","2,410.54","-","-1.22%"
"Nov 04, 2019","2,446.54","2,440.71","2,458.35","2,440.71","-","0.28%"
"Nov 01, 2019","2,439.62","2,398.56","2,439.78","2,398.56","-","1.71%"
"Oct 31, 2019","2,398.56","2,410.12","2,410.12","2,383.76","-","-0.48%"
"Oct 30, 2019","2,410.04","2,384.55","2,410.04","2,371.88","-","1.07%"
"Oct 29, 2019","2,384.57","2,379.14","2,389.23","2,372.97","-","0.23%"
"Oct 28, 2019","2,379.14","2,371.50","2,385.72","2,367.28","-","0.32%"
"Oct 25, 2019","2,371.50","2,375.99","2,385.64","2,367.90","-","-0.19%"
"Oct 24, 2019","2,375.97","2,388.39","2,395.61","2,356.12","-","-0.52%"
"Oct 23, 2019","2,388.32","2,399.91","2,404.78","2,375.55","-","-0.48%"
"Oct 22, 2019","2,399.88","2,386.40","2,400.67","2,382.28","-","0.56%"
"Oct 21, 2019","2,386.40","2,370.50","2,386.58","2,364.02","-","0.67%"
"Oct 18, 2019","2,370.50","2,366.64","2,373.67","2,350.61","-","0.16%"
"Oct 17, 2019","2,366.64","2,357.74","2,370.15","2,356.58","-","0.38%"
"Oct 16, 2019","2,357.74","2,339.88","2,358.00","2,313.03","-","0.76%"
"Oct 15, 2019","2,339.88","2,348.60","2,355.58","2,336.22","-","-0.37%"
"Oct 14, 2019","2,348.58","2,336.84","2,349.60","2,333.05","-","0.50%"
"Oct 11, 2019","2,336.81","2,297.40","2,345.26","2,297.40","-","1.72%"
"Oct 10, 2019","2,297.38","2,296.29","2,313.08","2,293.67","-","0.05%"
